timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621630664865,4824,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-7,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4701,utf-8,1,0,VDICOR1W14-23,0,38
1621630669582,335,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-8,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,335,utf-8,1,0,VDICOR1W14-23,0,44
1621630668584,1425,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,1425,utf-8,1,0,VDICOR1W14-23,0,1040
1621630669690,547,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-7,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,547,utf-8,1,0,VDICOR1W14-23,0,37
1621630669917,518,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-8,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,518,utf-8,1,0,VDICOR1W14-23,0,0
1621630670009,524,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9016,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,519,utf-8,1,0,VDICOR1W14-23,0,37
1621630666780,3814,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3683,utf-8,1,0,VDICOR1W14-23,0,0
1621630670533,238,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,238,utf-8,1,0,VDICOR1W14-23,0,41
1621630666434,4576,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4454,utf-8,1,0,VDICOR1W14-23,0,0
1621630670435,585,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-8,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,585,utf-8,1,0,VDICOR1W14-23,0,38
1621630666829,4304,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-6,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4164,utf-8,1,0,VDICOR1W14-23,0,35
1621630670771,366,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,361,utf-8,1,0,VDICOR1W14-23,0,0
1621630671011,296,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,296,utf-8,1,0,VDICOR1W14-23,0,37
1621630671133,334,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-6,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,331,utf-8,1,0,VDICOR1W14-23,0,43
1621630671137,549,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9016,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,544,utf-8,1,0,VDICOR1W14-23,0,60
1621630671687,339,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,338,utf-8,1,0,VDICOR1W14-23,0,43
